epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5395,1.63423,3.17569,1.21514,0.01517,0.83251,0.24173,0.09398,1.1047,3.34564,0.90598,0.00037154,0.00037154,0.00037154
2,33.5907,1.09886,1.50746,0.96912,0.89321,0.20978,0.64943,0.49519,0.83003,2.59236,0.9161,0.000749872,0.000749872,0.000749872
3,48.2448,0.99586,1.18856,0.94349,0.94443,0.54813,0.84129,0.64094,0.85667,2.05125,0.89234,0.00112056,0.00112056,0.00112056
4,62.8474,0.91753,1.0617,0.92756,0.93265,0.85038,0.93827,0.72564,0.83739,1.19214,0.86049,0.00138656,0.00138656,0.00138656
5,77.3826,0.87057,0.98107,0.9123,0.91809,0.82436,0.8868,0.69032,0.80693,1.3586,0.88802,0.00137241,0.00137241,0.00137241
6,91.6795,0.80123,0.9018,0.89426,0.93735,0.88871,0.93284,0.7351,0.79458,1.18983,0.89136,0.00135826,0.00135826,0.00135826
7,106.319,0.79816,0.84928,0.88772,0.92387,0.88114,0.93377,0.77398,0.71905,0.95284,0.86991,0.00134412,0.00134412,0.00134412
8,121.035,0.83957,0.83221,0.89437,0.95259,0.93529,0.95229,0.78301,0.66236,0.70144,0.84849,0.00132997,0.00132997,0.00132997
9,135.701,0.7964,0.78574,0.8855,0.96601,0.93729,0.96679,0.80654,0.63849,0.67606,0.86322,0.00131582,0.00131582,0.00131582
10,150.344,0.82638,0.80551,0.89255,0.97268,0.93394,0.96848,0.79518,0.70113,0.65585,0.86843,0.00130168,0.00130168,0.00130168
11,164.656,0.73511,0.74519,0.87788,0.84682,0.90479,0.95428,0.79687,0.62004,0.75617,0.85146,0.00128753,0.00128753,0.00128753
12,179.244,0.71457,0.70694,0.8686,0.97409,0.93319,0.9751,0.83932,0.64374,0.62754,0.84739,0.00127338,0.00127338,0.00127338
13,193.833,0.73937,0.67949,0.87133,0.97041,0.93965,0.97419,0.84671,0.59646,0.56962,0.83974,0.00125923,0.00125923,0.00125923
